"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Dung1_1_S222",31133,31133,20022,20049,19707,19290
"Dung1_2_S223",118374,118370,81705,81755,78273,76111
"Dung1_3_S224",133305,133300,86524,86509,81436,79084
"Dung2_1_S225",96408,96404,64786,64702,60731,48084
"Dung2_2_S226",112321,112296,79697,79656,75963,64902
"Dung2_3_S227",160564,160545,118114,118276,113482,100541
"Dung3_1_S228",28989,28988,19363,19166,18977,18432
"Dung3_2_S229",110441,110438,73683,73619,70864,66745
"Dung3_3_S230",35829,35829,23803,23806,23229,22907
"Dung4_1_S231",94503,94496,69384,69415,66783,63919
"Dung4_2_S232",182507,182489,134636,134421,128616,114265
"Dung4_3_S233",120577,120564,88343,88333,85547,79261
"Dung5_1_S234",89385,89352,43493,43532,41496,38446
"Dung5_2_S235",105348,105347,68293,68318,66104,59424
"Dung5_3_S236",25658,25658,14204,14187,13971,13766
"Dung6_1_S237",24644,24631,10489,10617,9247,8754
"Dung6_2_S238",147579,147559,99829,99795,96906,94509
"Dung6_3_S239",115340,115324,82678,82507,78844,74468
"Dung7_1_S240",86806,86803,58549,58634,53180,49257
"Dung7_2_S241",86604,86599,58594,58661,52541,48486
"Dung7_3_S242",91438,91429,46526,46140,44916,43521
"Dung8_1_S243",95388,95374,60259,60377,58300,55017
"Dung8_2_S244",24003,24000,13889,13939,13027,12538
"Dung8_3_S245",37025,37022,22250,22349,21210,20058
