"ASV","P_Value","Adjusted_P_Value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV1",1.41913958889126e-05,0.00045980122680077,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100","100"," 74"," 74"
"ASV102",0.000383391726577478,0.00477765074658088,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_irregulare","oomycetedb_51","100","100","100","100","100","100"," 84"," 83"
"ASV13",1.02689156151545e-05,0.000415891082413758,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",NA,NA,"100","100","100","100","100"," 65"," 34"," 34"
"ASV19",1.02689156151545e-05,0.000415891082413758,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",NA,NA,"100","100","100","100","100"," 93"," 40"," 40"
"ASV229",0.00108433256167357,0.00975899305506209,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100"," 94"," 92"
"ASV31",3.77567718736389e-05,0.000764574630441188,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",NA,NA,"100","100","100","100","100","100"," 20"," 20"
"ASV312",0.00108433256167357,0.00975899305506209,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",NA,NA,"100","100","100","100","100","100"," 38"," 38"
"ASV32",3.75846071382431e-05,0.000764574630441188,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100","100"," 65"," 65"
"ASV387",0.000383391726577478,0.00477765074658088,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",NA,NA,"100","100","100","100","100","100"," 18"," 18"
"ASV39",0.000383391726577478,0.00477765074658088,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_selbyi","oomycetedb_83","100","100","100","100","100"," 95"," 77"," 77"
"ASV5",7.39602301050679e-07,0.00011981557277021,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 99"
"ASV58",0.00108433256167357,0.00975899305506209,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100","100","100"," 93"
"ASV61",3.75846071382431e-05,0.000764574630441188,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",NA,NA,"100","100","100","100","100","100"," 50"," 50"
"ASV62",0.00108433256167357,0.00975899305506209,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium",NA,NA,"100","100","100","100","100","100"," 12"," 12"
"ASV67",0.00108433256167357,0.00975899305506209,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",NA,NA,"100","100","100"," 89"," 89"," 86"," 19"," 19"
"ASV71",0.000125308727883931,0.00203000139171968,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium",NA,NA,"100","100","100","100","100","100"," 30"," 30"
"ASV72",0.000125308727883931,0.00203000139171968,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae",NA,NA,NA,"100","100","100","100","100"," 15"," 15"," 15"
"ASV80",1.02689156151545e-05,0.000415891082413758,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100"," 93"," 65"," 65"
